bigram,count,year
start_up,4232,2018
start_up,4110,2019
start_up,2878,2017
start_up,2785,2020
etats_unis,2472,2018
etats_unis,2439,2019
millions_euros,1938,2018
etats_unis,1895,2020
machine_learning,1819,2018
machine_learning,1770,2019
millions_euros,1693,2019
etats_unis,1659,2017
millions_euros,1446,2020
start_up,1405,2016
machine_learning,1257,2017
big_data,1237,2018
chiffre_affaires,1222,2019
machine_learning,1164,2020
temps_reel,1129,2018
temps_reel,1111,2019
reseaux_sociaux,1073,2019
temps_reel,1070,2020
chiffre_affaires,1052,2018
big_data,1031,2017
emmanuel_macron,1028,2018
nouvelles_technologies,1027,2019
nouvelles_technologies,1025,2018
deep_learning,996,2019
big_data,956,2019
deep_learning,932,2018
reseaux_sociaux,907,2018
chiffre_affaires,901,2020
reconnaissance_faciale,887,2019
milliards_dollars,874,2018
temps_reel,867,2017
cedric_villani,857,2018
milliards_dollars,783,2019
millions_euros,782,2017
directeur_general,775,2018
plate_forme,766,2018
reconnaissance_faciale,759,2020
directeur_general,735,2019
etats_unis,725,2016
milliards_dollars,709,2020
millions_dollars,707,2018
milliards_dollars,695,2017
deep_learning,695,2017
milliards_euros,691,2018
plate_forme,685,2019
millions_dollars,678,2019
reseaux_sociaux,654,2017
nouvelles_technologies,651,2017
chiffre_affaires,643,2017
start_up,639,2015
reseaux_sociaux,634,2020
deep_learning,632,2016
apprentissage_automatique,627,2019
milliards_euros,622,2019
machine_learning,618,2016
objets_connectes,600,2017
elon_musk,586,2017
plate_forme,586,2017
jeu_go,576,2016
nouvelles_technologies,547,2020
crise_sanitaire,544,2020
directeur_general,543,2020
millions_dollars,534,2020
relation_client,525,2017
plate_forme,505,2020
big_data,499,2016
big_data,488,2020
deep_learning,479,2020
realite_virtuelle,476,2017
levee_fonds,472,2020
millions_dollars,461,2017
temps_reel,441,2016
etats_unis,432,2015
reseau_social,411,2016
reseaux_sociaux,382,2016
lee_sedol,366,2016
big_data,351,2015
objets_connectes,327,2016
plate_forme,308,2016
realite_virtuelle,297,2016
mark_zuckerberg,282,2016
millions_euros,282,2016
silicon_valley,269,2016
new_york,256,2016
milliards_dollars,256,2016
machine_learning,247,2015
etats_unis,237,2014
millions_euros,232,2015
start_up,231,2014
moteur_recherche,208,2015
reseau_social,191,2015
elon_musk,190,2015
reseaux_sociaux,185,2015
new_york,181,2015
science_fiction,163,2015
big_data,163,2014
temps_reel,161,2015
deep_learning,156,2015
silicon_valley,152,2015
stephen_hawking,149,2015
millions_dollars,149,2015
latribune_fr,144,2015
yann_lecun,144,2015
reseaux_sociaux,127,2014
etats_unis,120,2013
moteur_recherche,109,2011
etats_unis,107,2012
etats_unis,98,2011
millions_dollars,97,2014
temps_reel,92,2014
reseau_social,82,2014
chiffre_affaires,80,2014
moteur_recherche,80,2014
science_fiction,79,2014
parents_eleves,78,2011
milliards_dollars,75,2014
new_york,73,2014
plate_forme,72,2014
moteur_recherche,72,2012
moteur_recherche,69,2013
millions_euros,69,2014
beaux_arts,68,2012
mise_jour,68,2011
mega_cgr,68,2012
tours_mega,68,2012
pathe_beaux,67,2012
mis_point,66,2014
start_up,64,2013
millions_euros,64,2013
stade_brestois,62,2011
inspection_academique,61,2012
silicon_valley,61,2014
new_york,61,2013
chiffre_affaires,60,2011
millions_euros,58,2012
jours_seance,55,2012
base_donnees,55,2014
hommes_femmes,53,2012
interdit_ans,53,2012
inspection_academique,52,2011
fund_eura,52,2012
temps_reel,52,2013
directeur_general,51,2014
demand_media,49,2011
parents_eleves,49,2012
mis_point,48,2012
michel_franco,48,2012
yann_lecun,47,2013
nouvel_algorithme,45,2011
arts_megarama,45,2012
sam_dim,45,2012
chiffre_affaires,44,2012
victor_hugo,44,2012
chef_etablissement,42,2011
millions_euros,41,2011
education_nationale,41,2011
chiffre_affaires,39,2013
inspecteur_academie,39,2011
lun_mar,37,2013
mis_point,37,2013
jeu_ven,36,2013
resultats_recherche,36,2011
plate_forme,35,2013
mots_cles,35,2011
fermes_contenus,35,2011
comparateurs_prix,34,2011
reseau_social,34,2013
moteurs_recherche,33,2011
reseaux_sociaux,33,2011
reseaux_sociaux,30,2013
science_fiction,29,2013
afp_bourse,28,2013
mer_sam,27,2013
grand_public,26,2013
