year,total_docs,topic,count,norm
2011,682,History,10,0.0146627565982404
2011,682,Investments,34,0.0498533724340175
2011,682,Healthcare,205,0.3005865102639296
2011,682,Robotics,19,0.0278592375366568
2011,682,Companies,119,0.1744868035190616
2011,682,Market&Clients,63,0.0923753665689149
2011,682,Research,48,0.0703812316715542
2011,682,Education,47,0.0689149560117302
2011,682,Enterprises,42,0.0615835777126099
2011,682,Legality,95,0.1392961876832844
2012,833,History,17,0.0204081632653061
2012,833,Investments,50,0.0600240096038415
2012,833,Healthcare,222,0.2665066026410564
2012,833,Robotics,26,0.0312124849939975
2012,833,Companies,170,0.2040816326530612
2012,833,Market&Clients,81,0.0972388955582232
2012,833,Research,92,0.1104441776710684
2012,833,Education,82,0.0984393757503001
2012,833,Enterprises,26,0.0312124849939975
2012,833,Legality,67,0.0804321728691476
2013,816,History,39,0.0477941176470588
2013,816,Investments,39,0.0477941176470588
2013,816,Healthcare,150,0.1838235294117647
2013,816,Robotics,36,0.0441176470588235
2013,816,Companies,175,0.2144607843137254
2013,816,Market&Clients,73,0.0894607843137254
2013,816,Research,106,0.1299019607843137
2013,816,Education,92,0.1127450980392156
2013,816,Enterprises,46,0.0563725490196078
2013,816,Legality,60,0.0735294117647058
2014,1189,History,78,0.0656013456686291
2014,1189,Investments,33,0.0277544154751892
2014,1189,Healthcare,167,0.1404541631623213
2014,1189,Robotics,78,0.0656013456686291
2014,1189,Companies,325,0.2733389402859545
2014,1189,Market&Clients,124,0.1042893187552565
2014,1189,Research,100,0.0841042893187552
2014,1189,Education,143,0.12026913372582
2014,1189,Enterprises,58,0.048780487804878
2014,1189,Legality,83,0.0698065601345668
2015,2126,History,97,0.0456255879586077
2015,2126,Investments,37,0.0174035747883349
2015,2126,Healthcare,195,0.0917215428033866
2015,2126,Robotics,110,0.0517403574788334
2015,2126,Companies,567,0.2666980244590781
2015,2126,Market&Clients,274,0.1288805268109125
2015,2126,Research,194,0.0912511759172154
2015,2126,Education,329,0.1547507055503292
2015,2126,Enterprises,125,0.0587958607714016
2015,2126,Legality,198,0.0931326434619002
2016,4175,History,318,0.0761676646706586
2016,4175,Investments,73,0.0174850299401197
2016,4175,Healthcare,365,0.0874251497005988
2016,4175,Robotics,347,0.0831137724550898
2016,4175,Companies,1073,0.2570059880239521
2016,4175,Market&Clients,416,0.0996407185628742
2016,4175,Research,328,0.078562874251497
2016,4175,Education,573,0.1372455089820359
2016,4175,Enterprises,193,0.0462275449101796
2016,4175,Legality,489,0.117125748502994
2017,7243,History,643,0.0887753693221041
2017,7243,Investments,231,0.0318928620737263
2017,7243,Healthcare,461,0.0636476598094712
2017,7243,Robotics,1009,0.1393069170233328
2017,7243,Companies,1258,0.1736849371807262
2017,7243,Market&Clients,1094,0.1510423857517603
2017,7243,Research,633,0.0873947259422891
2017,7243,Education,730,0.1007869667264945
2017,7243,Enterprises,622,0.0858760182244926
2017,7243,Legality,562,0.0775921579456026
2018,11335,History,801,0.070666078517865
2018,11335,Investments,354,0.0312307013674459
2018,11335,Healthcare,641,0.0565505072783414
2018,11335,Robotics,1741,0.1535950595500661
2018,11335,Companies,1438,0.1268636965152183
2018,11335,Market&Clients,2316,0.2043228936921041
2018,11335,Research,979,0.086369651521835
2018,11335,Education,1163,0.1026025584472871
2018,11335,Enterprises,1291,0.113895015438906
2018,11335,Legality,611,0.0539038376709307
2019,11408,History,741,0.0649544179523141
2019,11408,Investments,294,0.0257713884992987
2019,11408,Healthcare,622,0.0545231416549789
2019,11408,Robotics,1734,0.1519985974754558
2019,11408,Companies,1600,0.1402524544179523
2019,11408,Market&Clients,2211,0.1938113604488078
2019,11408,Research,1100,0.0964235624123422
2019,11408,Education,1369,0.1200035063113604
2019,11408,Enterprises,1187,0.1040497896213183
2019,11408,Legality,550,0.0482117812061711
2020,8329,History,416,0.0499459719053908
2020,8329,Investments,385,0.0462240364989794
2020,8329,Healthcare,374,0.0449033497418657
2020,8329,Robotics,1346,0.1616040340977308
2020,8329,Companies,871,0.104574378676912
2020,8329,Market&Clients,1384,0.1661664065313963
2020,8329,Research,1085,0.1302677392243967
2020,8329,Education,1136,0.1363909232801056
2020,8329,Enterprises,814,0.0977308200264137
2020,8329,Legality,518,0.0621923400168087
2021,13,Robotics,4,0.3076923076923077
2021,13,Companies,2,0.1538461538461538
2021,13,Market&Clients,2,0.1538461538461538
2021,13,Enterprises,4,0.3076923076923077
2021,13,Legality,1,0.0769230769230769
